taxon,EOI15_S_2019-08-21,EOI15_S_2019-09-13,EOI15_S_2019-10-23,EOI15_S_2019-11-08,EOI15_S_2019-11-28,EOI15_S_2020-01-21,EOI15_S_2020-02-07,EOI15_S_2020-03-26,EOI15_S_2020-04-23,EOI15_S_2020-05-15,EOI15_S_2020-06-09,EOI15_S_2020-07-02,EOI15_S_2020-07-15,EOI15_S_2020-07-28,EOI15_S_2020-08-14,EOI15_S_2020-09-01,EOI15_S_2020-09-23,EOI15_S_2020-10-09,EOI15_S_2020-10-22,EOI15_S_Au2020,EOI15_S_2020-12-02,EOI15_S_Wi2021
Desulfosporosinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oligoflexales,1.55106092567316e-05,4.71675864346021e-05,4.99400719137036e-05,0.000171914844846853,0.000113602799172972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodothermales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54185361641766e-05,0,0,0,0,0,0,0
Desulfobulbaceae,0.0023576126070232,0.00463421536719966,0.00254694366759888,0.00338099194865477,0.00202212982527889,0.00203462858054736,0.00691182029267239,0.0116533139111435,0.00469708588957055,0.0194990602862513,0.00968939409827814,0.0158301780391525,0.00521974544002649,0.0138321880467581,0.015110165440893,0.0116537593705317,0.00453276134202113,0.00889646330404328,0.00368944239475423,0.00587976968868937,0.00908069171626351,0.0241572190104362
Ectothiorhodospiraceae,0,0,0,2.86524741411421e-05,4.54411196691886e-05,0,0,0,0,0,0,0,0,0,0,8.26507756775297e-06,0,0,0,0,0,1.87701779412869e-05
Moraxellaceae,7.7553046283658e-05,4.71675864346021e-05,2.49700359568518e-05,0.000487092060399416,0.000727057914707018,7.97893560998963e-05,5.39985960365031e-05,6.06943432872056e-05,0.000460122699386503,0.00056021396559202,4.19454289968751e-05,4.02803512446629e-05,0,1.26784491720973e-05,1.54185361641766e-05,5.78555429742708e-05,4.04710834109029e-05,1.56352606397949e-05,1.61111021604988e-05,3.65960769005563e-05,6.38585915349051e-05,9.38508897064344e-05
Saprospiraceae,0.00276088844769823,0.00330173105042215,0.00444466640031962,0.00255007019856165,0.00209029150478268,0.000219420729274715,0.00299692208002592,0.00248846807477543,0.00193634969325153,0.00580092525661414,0.00199240787735157,0.00553854829614114,0.000944618111348077,0.00219337170677283,0.00385463404104414,0.00356224843170153,0.00246873608806508,0.0015166202820601,0.00177222123765487,0.000902703230213721,0.000830161689953766,0.000919738719123057
endosymbionts (Thiomicrospiraceae),0.00215597468668569,0.00412716381302769,0.00242209348781462,0.00277928999169078,0.00184036534660214,0.00452804595866911,0.00391489821264647,0.00553835882495751,0.00456288343558282,0.00471664016191991,0.00549485119859063,0.00509546443244985,0.00603776524779183,0.00472906154119228,0.00494935010870068,0.00540536072931044,0.0047081360368017,0.00575377591544451,0.00447888640061867,0.00645310822679809,0.00401031954839204,0.00750807117651475
Thalassobaculales,0,1.17918966086505e-05,0,0,0,0,0,0,0,0,0,0,6.81683173137788e-05,0,0,8.26507756775297e-06,1.34903611369676e-05,0,0,0,0,0
PHOS-HE36,0.000434297059188485,0.000117918966086505,0.000224730323611666,0.000630354431105126,0.000249926158180538,1.99473390249741e-05,0.000188995086127761,0.000121388686574411,7.66871165644172e-05,0.000289142691918462,8.38908579937501e-05,0.000261822283090309,1.94766620896511e-05,0.000266247432614043,0.000123348289313413,0.000148771396219554,0,0.000109446824478564,4.83333064814964e-05,6.09934615009271e-05,2.5543436613962e-05,0.000206471957354156
Hoppeia,1.55106092567316e-05,8.25432762605538e-05,2.49700359568518e-05,2.86524741411421e-05,0,0,0,0,0,5.42142547347116e-05,0,8.05607024893257e-05,0,0,3.08370723283531e-05,0,0,0,3.22222043209976e-05,1.21986923001854e-05,1.2771718306981e-05,1.87701779412869e-05
SBR1031,0.00209393224965877,0.00215791707938305,0.00149820215741111,0.00126070886221025,0.00174948310726376,0.00574483363919253,0.00259193260975215,0.00179048312697257,0.00199386503067485,0.00146378487783721,0.00278937102829219,0.00241682107467977,0.00555084869555056,0.00245961913938687,0.0028986847988652,0.00240513757221612,0.00365588786811823,0.0030332405641202,0.00352833137314924,0.00444032399726749,0.0084804209558354,0.00140776334559652
Pirellulaceae,0.000635934979525996,0.000542427243997925,0.000524370755093887,0.000315177215552563,0.000477131756526481,0.00139631373174818,0.000566985258383282,0.000576596261228454,0.000421779141104294,0.000397571201387885,0.000692099578448439,0.0007049061467816,0.000895926456123949,0.000545173314400183,0.000616741446567063,0.000446314188658661,0.000256316861602385,0.000390881515994872,0.000434999758333468,0.000414755538206304,0.00116222636593527,0.000356633380884451
Sulfuritalea,6.20424370269264e-05,2.35837932173011e-05,2.49700359568518e-05,0.000286524741411421,0.000318087837684321,0,2.69992980182515e-05,1.51735858218014e-05,3.83435582822086e-05,0.000343356946653173,0,0,0,0,0,0,0,0,0,0,0,1.87701779412869e-05
Nitriliruptorales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latescibacterota,0.00297803697729247,0.00311306070468374,0.00287155413503795,0.00277928999169078,0.00220389430395565,0.00686188462459108,0.00305092067606242,0.00241260014566642,0.00324003067484663,0.00478892583489952,0.00440427004467188,0.003524530733908,0.00673892508301927,0.00290336486041027,0.00578195106156622,0.00439702126604458,0.00640792154005963,0.00587885800056287,0.00649277417068102,0.00568459061188641,0.00721602084344428,0.00170808619265711
BD1-7 clade,0.000666956198039459,0.000624970520258478,0.000749101078705553,0.000773616801810836,0.00122691023106809,0.000159578712199793,0.000296992278200767,0.000151735858218014,0.000115030674846626,0.000289142691918462,2.09727144984375e-05,0.000241682107467977,2.92149931344766e-05,6.33922458604863e-05,9.25112169850594e-05,0.000148771396219554,4.04710834109029e-05,1.56352606397949e-05,4.83333064814964e-05,8.53908461012979e-05,0.000204347492911696,0.000187701779412869
Fluviicola,1.55106092567316e-05,0,2.49700359568518e-05,2.86524741411421e-05,6.8161679503783e-05,0,0,0,5.75153374233129e-05,0.000198785600693942,2.09727144984375e-05,2.01401756223314e-05,0,0,0,8.26507756775297e-06,0,0,0,0,0,0
Fabibacter,0,0,0,0,0,0,0,0,0,0,0,2.01401756223314e-05,0,0,0,0,0,0,0,0,0,0
RBG-13-54-9,0,2.35837932173011e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woesearchaeales,0.00339682342722422,0.00392670157068063,0.0063673591689972,0.00277928999169078,0.00174948310726376,0.000738051543924041,0.0036179059344457,0.000940762320951687,0.00147622699386503,0.00312635535636837,0.00362827960822969,0.00292032546523806,0.000769328152541218,0.0018764104774704,0.00137224971861171,0.0030580787000686,0.0013760168359707,0.00106319772350605,0.00167555462469188,0.00119547184541817,0.000434238422437355,0.00351002327502065
Subgroup 23,0.00640588162303015,0.00719305693127683,0.00516879744306832,0.00667602647488611,0.00613455115534047,0.0136838745711322,0.00734380906096441,0.00672189851905802,0.00408358895705521,0.0101380656353911,0.00736142278895157,0.0106541529042133,0.0125234937236456,0.00925526789563101,0.0146476093559677,0.00884363299749568,0.0115207684109704,0.012039150692642,0.0126794374003126,0.0150775836830292,0.030984188612736,0.00330355131766649
Prolixibacteraceae,0.00525809653803201,0.00411537191641904,0.00337095485417499,0.0027219850434085,0.0019994092654443,0.001535945104923,0.00294292348398942,0.00233673221655742,0.00283742331288344,0.00733699580743097,0.00534804219710157,0.00533714653991783,0.00156787129821691,0.0055785176357228,0.00299119601585026,0.00614095263284046,0.00246873608806508,0.00328340473435692,0.00257777634567981,0.00179320776812726,0.000932335436409615,0.00424206021473084
Enterovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MND1,1.55106092567316e-05,1.17918966086505e-05,0,8.59574224234263e-05,2.27205598345943e-05,3.98946780499481e-05,0,1.51735858218014e-05,1.91717791411043e-05,0,0,2.01401756223314e-05,9.73833104482554e-06,0,1.54185361641766e-05,8.26507756775297e-06,0,0,0,0,1.2771718306981e-05,0
Spongiibacteraceae,0.000465318277701948,0.000636762416867129,0.000774071114662405,0.000945531646657689,0.00111330743189512,0.000498683475624352,0.000593984556401534,0.000728332119446468,0.000325920245398773,0.00070478531155125,0.000419454289968751,0.00056392491742528,0.00072063649731709,0.000824099196186323,0.000693834127387946,0.000404988800819896,0.000485653000930835,0.000594139904312205,0.000757221801543444,0.000805113691812238,0.0014815193236098,0.000262782491178016
Nitrosopumilaceae,0.000217148529594242,0.000601386727041177,0.000599280862964443,0.00131801381049254,0.000658896235203235,5.98420170749222e-05,0.000674982450456288,0.000531075503763049,0.000153374233128834,0.000397571201387885,0.000104863572492188,0.00042294368806896,0.000126598303582732,0.000405710373507113,0.000339207795611885,8.26507756775297e-05,0.000121413250232709,4.69057819193846e-05,0,2.43973846003708e-05,2.5543436613962e-05,0.000581875516179893
Bacteroidetes BD2-2,0.0758158580469041,0.0704801660299043,0.0826008789452657,0.0608865075499269,0.0532569922522891,0.0403335195084976,0.080511906690426,0.0595411507647487,0.0716641104294479,0.0744000289142692,0.0822759589773704,0.105453959558527,0.0521585010760856,0.0861120267768846,0.0985707016975808,0.100189270276302,0.0908306015352031,0.0953594546421089,0.0835199536000258,0.0671172050356202,0.0461825333980434,0.078252871837225
Rhodobacteraceae,0.00547524506762626,0.00420970708928824,0.00382041550139832,0.0076215581215438,0.00902006225433395,0.00327136360009575,0.00245693611966089,0.00250364166059723,0.00262653374233129,0.00298178401040914,0.000713072292946876,0.00151051317167486,0.00111016973911011,0.00083677764535842,0.000971367778343124,0.000793447446504285,0.00109271925209438,0.000828668813909128,0.00106333274259292,0.00112227969161706,0.00363993971748959,0.00150161423530295
Halioglobus,0.00747611366174463,0.00824253572944672,0.00891430283659608,0.00836652244921349,0.00620271283484425,0.00341099497327057,0.00799179221340245,0.00826960427288177,0.00287576687116564,0.00995735145294203,0.00478177890564376,0.0111375171191493,0.00962147107228763,0.0120952405101808,0.0129053147694158,0.00883536791992793,0.00588179745571789,0.0075987366709403,0.00555833024537209,0.00851468722552942,0.0197833916575136,0.00632554996621368
Anaerolineae,0.00946147164660628,0.00778265176170935,0.00412005593288054,0.00492822555227644,0.00538477268079886,0.0294422724008617,0.00704681678276365,0.0086034231609614,0.00993098159509202,0.00661413907763481,0.0108848388246891,0.00644485619914606,0.0270628219735702,0.0108020386946269,0.00931279584316265,0.00921556148804457,0.0153925020572801,0.0131492541980675,0.0169972127793262,0.0237874499853616,0.0418529208919768,0.00407312861325925
Spirochaeta 2,0.00566137237870704,0.00362011225885571,0.00646723931282461,0.00401134637975989,0.00383977461204644,0.00305194287082103,0.00210594524542362,0.00121388686574411,0.00122699386503067,0.00122885644065346,0.00142614458589375,0.00165149440103118,0.00150944131194796,0.00097624058625149,0.0019735726290146,0.00160342504814408,0.00249571681033901,0.00150098502142031,0.00249722083487731,0.00168341953742559,0.00284809318245677,0.00191455815001126
Arenicellaceae,0.00229557016999628,0.00235837932173011,0.00127347183379944,0.00200567318987995,0.00197668870560971,0.00426873055134445,0.00202494735136886,0.00239742655984462,0.0017829754601227,0.00395764059563395,0.00274742559929532,0.00265850318214775,0.00497628716390585,0.00335978903060578,0.00400881940268591,0.00282665652817152,0.00308929270036559,0.00295506426092123,0.00376999790555672,0.00484288084317361,0.010741015096171,0.00341617238531421
Actinomarinales,0.0144403772180171,0.0129357105796896,0.00529364762285258,0.00839517492335463,0.012041896712335,0.0536782893162052,0.0107997192073006,0.0161446953143967,0.0174463190184049,0.0134632065924534,0.0123319561250813,0.0141384032868767,0.0190092221994995,0.00526155640642037,0.00815640563084941,0.00537230041903943,0.0142862924440487,0.00856812283060759,0.0155149913805603,0.0183102371425783,0.0467317172852436,0.00382911630002252
Comamonadaceae,0.0131529966497084,0.00318381208433564,0.00726628046344387,0.0224348872525143,0.0298775361824915,0.00201468124152238,0.00259193260975215,0.002139475600874,0.0058090490797546,0.0105898510915137,0.000398481575470313,0.00138967211794087,0.000223981614030987,0.000177498288409362,0.000601322910402886,0.000586820507310461,0.000539614445478705,0.000109446824478564,0.000418888656172969,0.000683126768810384,0.00113668292932131,0.00223365117501314
Gammaproteobacteria,0.0270505025437399,0.0388660912221122,0.0265930882940471,0.0285092117704364,0.0238793083861586,0.0387177850474747,0.0382310059938442,0.046992595290119,0.0272239263803681,0.0498771143559347,0.0361150143663094,0.0488197857085314,0.0527914925939992,0.0511955777569288,0.0621983748862883,0.0443586713061302,0.0443158363349387,0.0528471809625066,0.0480594177447679,0.0554552551966429,0.0852895348540193,0.0329228921090172
Peredibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2771718306981e-05,0
Thiohalophilus,6.20424370269264e-05,8.25432762605538e-05,2.49700359568518e-05,2.86524741411421e-05,4.54411196691886e-05,1.99473390249741e-05,0.000134996490091258,0.00010621510075261,5.75153374233129e-05,9.03570912245193e-05,6.29181434953126e-05,0.000161121404978651,2.92149931344766e-05,0.000215533635925654,0.000154185361641766,0.000140506318651801,0.000107922889095741,4.69057819193846e-05,3.22222043209976e-05,6.09934615009271e-05,0.000166032337990753,0.000469254448532172
Roseivirga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungateiclostridiaceae,0.0129048269016007,0.0121692373001274,0.0196763883339992,0.0074209908025558,0.00747506418558153,0.00247347003909678,0.0127976672606512,0.00260985676134984,0.00210889570552147,0.00399378343212375,0.00339757974874688,0.00767340691210827,0.00300914429285109,0.00597154956005781,0.0103150006938341,0.00835599342099826,0.00918693593427496,0.0057850464367241,0.00782999565000242,0.0065263003805992,0.00463613374543411,0.00412943914708311
Enterobacterales,0.000294701575877901,0.000165086552521108,0.000199760287654814,0.000372482163834847,0.00109058687206053,9.97366951248703e-05,8.09978940547546e-05,0.000136562272396213,0.000517638036809816,0.000722856729796154,4.19454289968751e-05,2.01401756223314e-05,3.89533241793022e-05,1.26784491720973e-05,1.54185361641766e-05,8.26507756775297e-06,1.34903611369676e-05,3.12705212795897e-05,0,3.65960769005563e-05,3.83151549209431e-05,5.63105338238607e-05
Desulforhopalus,0.00473073582330314,0.00387953398424603,0.00464442668797443,0.00472765823328844,0.00606638947583668,0.00275273278544642,0.0026189319077704,0.00206360767176499,0.00297162576687117,0.00258421280902125,0.00123739015540781,0.00233626037219045,0.00124650637373767,0.00131855871389812,0.000817182416701358,0.00133067748840823,0.00176723730894276,0.000734857250070359,0.00144999919444489,0.000866107153313165,0.000676901070269994,0.0021398002853067
Lentimicrobiaceae,0.0106557885593746,0.0098462336682232,0.0127596883739513,0.00641815420761583,0.00583918387749074,0.00706135801484082,0.0135806469031805,0.00949866472444768,0.0122891104294479,0.0192460604308226,0.0190432247645813,0.0153870941754612,0.00923193783049461,0.0163551994320055,0.015017654223908,0.0183071468125728,0.014987791223171,0.0193251821507865,0.0134849925083375,0.010856836147165,0.00568341464660655,0.0102860575118252
Sva1033,0.0018147412830376,0.0022876279420782,0.00132341190571314,0.00169049597432738,0.00129507191057188,0.00303199553179606,0.00359090663642745,0.00311058509346929,0.00291411042944785,0.00527685412751193,0.00325077074725782,0.00412873600257794,0.00505419381226445,0.00362603646321982,0.00550441741061104,0.00448793711928986,0.0055850095107046,0.00450295506426092,0.00578388567561907,0.00583097491948863,0.00785460675879333,0.00424206021473084
Desulfatiferula olefinivorans,0.000604913761012533,9.43351728692043e-05,4.99400719137036e-05,5.73049482822842e-05,0.000295367277849726,0,0.000188995086127761,0.00121388686574411,0.00166794478527607,0.00289142691918462,0.00163587173087813,0.00122855071296222,0.000399271572837847,0.000126784491720973,0.000200440970134295,0.000289277714871354,0.000121413250232709,4.69057819193846e-05,6.44444086419952e-05,0,3.83151549209431e-05,0.000976049252946918
Desulfosarcinaceae,0.0488429085494478,0.0422503655487949,0.0600029964043148,0.033466089796854,0.0393292890736828,0.0374810500279263,0.0540795939305578,0.0217589220684632,0.020398773006135,0.0286251264999277,0.0295086092993016,0.0439660033835495,0.0191747738272615,0.0319750488120293,0.0365419307090985,0.040383168996041,0.0301779378633966,0.0234372556990525,0.0256327635373536,0.0224211964477408,0.021520345347263,0.0555972670620917
Bacteroidetes VC2.1 Bac22,0.00894962154113414,0.00838403848875053,0.0131592089492609,0.00630354431105126,0.00568013995864858,0.00299210085374611,0.0079107943193477,0.0053562757950959,0.00586656441717791,0.0119452074598815,0.0108638661101906,0.0101707886892774,0.00289228432031318,0.0109288231863478,0.00727754906949134,0.00618227802067922,0.00571991312207428,0.00737984302198318,0.00510721938487812,0.00386698545915878,0.00164755166160055,0.00326601096178392
Anderseniella,0,0,0,0,0,0,0,0,0,0,0,0,9.73833104482554e-06,2.53568983441945e-05,0,0,0,0,0,0,0,0
Ulvibacter,0,0,0,0.000114609896564568,0,1.99473390249741e-05,0,0,0,0,0,0,0,0,1.54185361641766e-05,0,0,3.12705212795897e-05,1.61111021604988e-05,0,2.5543436613962e-05,0
Marine Benthic Group D and DHVEG-1,0.000325722794391364,0.00088439224564879,0.00142329204954055,0.000343829689693705,0.000204485038511349,0.000159578712199793,0.00105297262271181,0.000227603787327021,0.000287576687116564,0.000542142547347116,0.000734045007445314,0.00142995246918553,0.000311626593434417,0.00211730101174024,0.000909693633686418,0.000950483920291592,0.000701498779122317,0.000797398292629538,0.000338333145370475,0.000524543768907973,0.000280977802753582,0.00106990014265335
Oscillatoriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcicella,0,0,2.49700359568518e-05,8.59574224234263e-05,0.000113602799172972,0,0,0,1.91717791411043e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfocapsaceae,0.0365585060181164,0.0443846988349606,0.0268427886536157,0.0349273659780522,0.0478722195714902,0.0700750019947339,0.0316161779793725,0.0423798252002913,0.0550996932515337,0.0421967616018505,0.0423229378578469,0.0366953999838879,0.0314937625989658,0.0217181834318026,0.0203678862728773,0.0363415460654098,0.0399719400488351,0.0207792613902874,0.0332855370635905,0.0295330340587489,0.0260415336279343,0.0393986034987612
Cellvibrionaceae,0.00367601439384539,0.00306589311824914,0.00319616460247703,0.00458439586258273,0.00415786244973076,3.98946780499481e-05,0.000404989470273773,1.51735858218014e-05,3.83435582822086e-05,0.00110235651293914,2.09727144984375e-05,0.000261822283090309,1.94766620896511e-05,1.26784491720973e-05,1.54185361641766e-05,0.000132241241084048,2.69807222739353e-05,0,0,0,0,0.000187701779412869
LCP-89,0.0110745750093064,0.00808924107353427,0.0103375948861366,0.00659006905246268,0.0059982277963329,0.00043884145854943,0.0052378638155408,0.000485554746297645,0.00166794478527607,0.00343356946653173,0.00169878987437344,0.00342382985579634,0.000146074965672383,0.000849456094530517,0.000462556084925297,0.000975279152994851,0.000215845778191482,0.000125082085118359,8.0555510802494e-05,0.000121986923001854,7.66303098418861e-05,0.00510548840003003
Rhodothermaceae,3.10212185134632e-05,1.17918966086505e-05,4.99400719137036e-05,5.73049482822842e-05,0,0,0,6.06943432872056e-05,0,0,0,8.05607024893257e-05,2.92149931344766e-05,1.26784491720973e-05,4.62556084925297e-05,0,0,0,3.22222043209976e-05,1.21986923001854e-05,3.83151549209431e-05,3.75403558825738e-05
Cellvibrio,3.10212185134632e-05,0,0.000124850179784259,0.000171914844846853,0.000227205598345943,0,2.69992980182515e-05,4.55207574654042e-05,3.83435582822086e-05,9.03570912245193e-05,0,0,0,0,0,0,0,0,0,0,0,0.000131391245589008
Ectothiorhodospirales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sediminispirochaeta,0.00130289117756545,0.00108485448799585,0.00179784258889333,0.00117475143978683,0.0012041896712335,0.00105720896832363,0.00110697121874831,0.000546249089584851,0.000440950920245399,0.000614428220326731,0.000943772152429689,0.000765326673648594,0.00127572136687215,0.00112838197631666,0.00140308679094007,0.00115711085948542,0.000930834918450767,0.00143844397886113,0.0012888881728399,0.00119547184541817,0.00123885667577716,0.00118252121030107
Aestuariicella,0,1.17918966086505e-05,0,0,2.27205598345943e-05,0,2.69992980182515e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50807117651475e-05
Latescibacteraceae,0.0026523141829011,0.00220508466581765,0.00269676388333999,0.00174780092260967,0.00172676254742917,0.00390967844889492,0.0034559101463362,0.00157805292546735,0.0017829754601227,0.00236735579008241,0.00350244332123907,0.00336340932892935,0.00369082746598888,0.00348657352232675,0.00629076275498404,0.00357051350926928,0.00580085528889608,0.00658244472935364,0.00579999677777957,0.00519664291987899,0.00662852180132315,0.00140776334559652
Rhodobacter,0.000791041072093312,0.000306589311824914,0.000474430683180184,0.00123205638806911,0.00129507191057188,0.000359052102449533,0.000242993682164264,0.00021243020150522,0.000210889570552147,0.00079514240277577,4.19454289968751e-05,0.000120841053733989,6.81683173137788e-05,1.26784491720973e-05,6.16741446567063e-05,3.30603102710119e-05,0.000107922889095741,4.69057819193846e-05,9.66666129629928e-05,6.09934615009271e-05,0.000217119211218677,7.50807117651475e-05
Lachnospiraceae,0.00125635934979526,0.00167444931842838,0.000898921294446664,0.00106014154322226,0.00134051303024107,0.000199473390249741,0.000107997192073006,1.51735858218014e-05,1.91717791411043e-05,0,4.19454289968751e-05,0.000503504390558286,0,0,0,2.47952327032589e-05,0,0,0,4.87947692007417e-05,0,3.75403558825738e-05
SC-I-84,0.000294701575877901,2.35837932173011e-05,0.000249700359568518,0.000114609896564568,0.000658896235203235,9.97366951248703e-05,5.39985960365031e-05,6.06943432872056e-05,9.58588957055215e-05,0.000325285528408269,0,6.04205268669943e-05,1.94766620896511e-05,0,1.54185361641766e-05,4.13253878387649e-05,5.39614445478705e-05,4.69057819193846e-05,0,7.31921538011125e-05,0.000114945464762829,1.87701779412869e-05
Desulfobacter,0.00338131281796749,0.00192207914721004,0.0035707151418298,0.00292255236239649,0.00318087837684321,0.00111705098539855,0.00137696419893083,0.000440033988832241,0.000517638036809816,0.000252999855428654,0.000230699859482813,0.000523644566180617,0.0004577015591068,0.000380353475162918,0.000323789259447708,0.000471109421361919,0.000391220472972061,0.000359610994715282,0.000225555430246983,0.000256172538303894,0.000191575774604715,0.000750807117651475
PB19,0.000124084874053853,0.000176878449129758,0.000199760287654814,0.00014326237070571,0.000181764478676755,5.98420170749222e-05,8.09978940547546e-05,7.5867929109007e-05,0.000115030674846626,9.03570912245193e-05,2.09727144984375e-05,6.04205268669943e-05,1.94766620896511e-05,1.26784491720973e-05,7.70926808208829e-05,2.47952327032589e-05,2.69807222739353e-05,1.56352606397949e-05,1.61111021604988e-05,6.09934615009271e-05,5.10868732279241e-05,1.87701779412869e-05
Malaciobacter,0,0,0,0,2.27205598345943e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oleispira,1.55106092567316e-05,1.17918966086505e-05,0,0.000257872267270279,6.8161679503783e-05,0,5.39985960365031e-05,0.000121388686574411,9.58588957055215e-05,0.000216857018938846,0,0,0,0,0,1.65301551355059e-05,0,0,0,0,0,9.38508897064344e-05
Thioalkalispira-Sulfurivermis,0,0,0,0,0,0,0,0,1.91717791411043e-05,0,2.09727144984375e-05,0,0,0,0,0,0,0,0,0,0,0
